,seed,nodes,constrained,method_OL,method_OA,method_NO,component,B_est,B_real
227,10,1500,0,1,0,0,17,2.7355235,4.0
228,10,1500,0,1,0,0,18,6.299706,5.0
229,10,1500,0,1,0,0,19,6.197889,5.0
230,10,1500,0,1,0,0,20,4.2140574,3.0
231,11,1500,0,1,0,0,0,0.7096722,1.0
232,11,1500,0,1,0,0,1,-0.3113762,0.0
233,11,1500,0,1,0,0,2,-1.3451467,-1.0
234,11,1500,0,1,0,0,3,-0.07333826,0.0
235,11,1500,0,1,0,0,4,0.8683112,1.0
236,11,1500,0,1,0,0,5,-1.10094,-1.0
237,11,1500,0,1,0,0,6,1.5040058,1.0
238,11,1500,0,1,0,0,7,0.5293747,0.0
239,11,1500,0,1,0,0,8,-0.40058136,-1.0
240,11,1500,0,1,0,0,9,0.51644784,0.0
241,11,1500,0,1,0,0,10,1.5789391,1.0
242,11,1500,0,1,0,0,11,-0.4314306,-1.0
243,11,1500,0,1,0,0,12,-3.6139927,-4.0
244,11,1500,0,1,0,0,13,0.40716913,0.0
245,11,1500,0,1,0,0,14,4.5191216,4.0
246,11,1500,0,1,0,0,15,0.6752971,0.0
247,11,1500,0,1,0,0,16,-3.3063605,-4.0
248,11,1500,0,1,0,0,17,4.775026,4.0
249,11,1500,0,1,0,0,18,4.337562,5.0
250,11,1500,0,1,0,0,19,4.3179817,5.0
251,11,1500,0,1,0,0,20,2.2225006,3.0
252,12,1500,0,1,0,0,0,1.3975806,1.0
253,12,1500,0,1,0,0,1,0.3860463,0.0
254,12,1500,0,1,0,0,2,-0.6358123,-1.0
255,12,1500,0,1,0,0,3,0.31811592,0.0
256,12,1500,0,1,0,0,4,1.2996788,1.0
257,12,1500,0,1,0,0,5,-0.72010386,-1.0
258,12,1500,0,1,0,0,6,0.43604138,1.0
259,12,1500,0,1,0,0,7,-0.62121826,0.0
260,12,1500,0,1,0,0,8,-1.5656302,-1.0
261,12,1500,0,1,0,0,9,-0.22926721,0.0
262,12,1500,0,1,0,0,10,0.72047824,1.0
263,12,1500,0,1,0,0,11,-1.2570196,-1.0
264,12,1500,0,1,0,0,12,-4.5573835,-4.0
265,12,1500,0,1,0,0,13,-0.6850102,0.0
266,12,1500,0,1,0,0,14,3.332986,4.0
267,12,1500,0,1,0,0,15,-0.2632329,0.0
268,12,1500,0,1,0,0,16,-4.4056396,-4.0
269,12,1500,0,1,0,0,17,3.5930927,4.0
270,12,1500,0,1,0,0,18,5.3616214,5.0
271,12,1500,0,1,0,0,19,5.505642,5.0
272,12,1500,0,1,0,0,20,3.497332,3.0
273,13,1500,0,1,0,0,0,0.8327067,1.0
274,13,1500,0,1,0,0,1,-0.1400587,0.0
275,13,1500,0,1,0,0,2,-1.1189255,-1.0
276,13,1500,0,1,0,0,3,-0.10102938,0.0
277,13,1500,0,1,0,0,4,0.90050954,1.0
278,13,1500,0,1,0,0,5,-1.0954477,-1.0
279,13,1500,0,1,0,0,6,1.1806046,1.0
280,13,1500,0,1,0,0,7,0.12735344,0.0
281,13,1500,0,1,0,0,8,-0.82954246,-1.0
282,13,1500,0,1,0,0,9,0.30274785,0.0
283,13,1500,0,1,0,0,10,1.3094283,1.0
284,13,1500,0,1,0,0,11,-0.6529103,-1.0
285,13,1500,0,1,0,0,12,-3.748817,-4.0
286,13,1500,0,1,0,0,13,0.24621853,0.0
287,13,1500,0,1,0,0,14,4.3273873,4.0
288,13,1500,0,1,0,0,15,0.36484692,0.0
289,13,1500,0,1,0,0,16,-3.608597,-4.0
290,13,1500,0,1,0,0,17,4.47556,4.0
291,13,1500,0,1,0,0,18,4.687018,5.0
292,13,1500,0,1,0,0,19,4.6850295,5.0
293,13,1500,0,1,0,0,20,2.5896475,3.0
294,14,1500,0,1,0,0,0,0.4066442,1.0
295,14,1500,0,1,0,0,1,-0.6358206,0.0
296,14,1500,0,1,0,0,2,-1.55352,-1.0
297,14,1500,0,1,0,0,3,0.31103024,0.0
298,14,1500,0,1,0,0,4,1.3053855,1.0
299,14,1500,0,1,0,0,5,-0.70031303,-1.0
300,14,1500,0,1,0,0,6,1.1952966,1.0
301,14,1500,0,1,0,0,7,0.24242528,0.0
302,14,1500,0,1,0,0,8,-0.8403699,-1.0
303,14,1500,0,1,0,0,9,-0.5842704,0.0
304,14,1500,0,1,0,0,10,0.4355507,1.0
305,14,1500,0,1,0,0,11,-1.5400506,-1.0
306,14,1500,0,1,0,0,12,-4.904412,-4.0
307,14,1500,0,1,0,0,13,-0.9374483,0.0
308,14,1500,0,1,0,0,14,3.0935595,4.0
309,14,1500,0,1,0,0,15,-0.7471791,0.0
310,14,1500,0,1,0,0,16,-4.7753415,-4.0
311,14,1500,0,1,0,0,17,3.3099415,4.0
312,14,1500,0,1,0,0,18,5.8585706,5.0
313,14,1500,0,1,0,0,19,5.8657894,5.0
314,14,1500,0,1,0,0,20,3.823905,3.0
315,15,1500,0,1,0,0,0,1.0369837,1.0
316,15,1500,0,1,0,0,1,-0.021552525,0.0
317,15,1500,0,1,0,0,2,-0.98165697,-1.0
318,15,1500,0,1,0,0,3,0.15233,0.0
319,15,1500,0,1,0,0,4,1.1692448,1.0
320,15,1500,0,1,0,0,5,-0.8475053,-1.0
321,15,1500,0,1,0,0,6,0.72472847,1.0
322,15,1500,0,1,0,0,7,-0.24114235,0.0
323,15,1500,0,1,0,0,8,-1.2438667,-1.0
324,15,1500,0,1,0,0,9,-0.44591886,0.0
325,15,1500,0,1,0,0,10,0.50024706,1.0
326,15,1500,0,1,0,0,11,-1.4454085,-1.0
327,15,1500,0,1,0,0,12,-4.6438885,-4.0
328,15,1500,0,1,0,0,13,-0.6643033,0.0
329,15,1500,0,1,0,0,14,3.3813453,4.0
330,15,1500,0,1,0,0,15,-0.6925699,0.0
331,15,1500,0,1,0,0,16,-4.752692,-4.0
332,15,1500,0,1,0,0,17,3.3295474,4.0
333,15,1500,0,1,0,0,18,5.7569456,5.0
334,15,1500,0,1,0,0,19,5.808655,5.0
335,15,1500,0,1,0,0,20,3.7315428,3.0
336,16,1500,0,1,0,0,0,0.9976097,1.0
337,16,1500,0,1,0,0,1,-0.10683983,0.0
338,16,1500,0,1,0,0,2,-1.0073161,-1.0
339,16,1500,0,1,0,0,3,-0.25164583,0.0
340,16,1500,0,1,0,0,4,0.55817,1.0
341,16,1500,0,1,0,0,5,-1.3772317,-1.0
342,16,1500,0,1,0,0,6,0.72342706,1.0
343,16,1500,0,1,0,0,7,-0.17722249,0.0
344,16,1500,0,1,0,0,8,-1.2458998,-1.0
345,16,1500,0,1,0,0,9,0.19135751,0.0
346,16,1500,0,1,0,0,10,1.3713251,1.0
347,16,1500,0,1,0,0,11,-0.64897007,-1.0
348,16,1500,0,1,0,0,12,-4.5656376,-4.0
349,16,1500,0,1,0,0,13,-0.64238507,0.0
350,16,1500,0,1,0,0,14,3.459826,4.0
351,16,1500,0,1,0,0,15,-0.2807906,0.0
352,16,1500,0,1,0,0,16,-4.3339157,-4.0
353,16,1500,0,1,0,0,17,3.7575884,4.0
354,16,1500,0,1,0,0,18,5.430676,5.0
355,16,1500,0,1,0,0,19,5.482705,5.0
356,16,1500,0,1,0,0,20,3.3808763,3.0
357,17,1500,0,1,0,0,0,0.8778257,1.0
358,17,1500,0,1,0,0,1,-0.062353473,0.0
359,17,1500,0,1,0,0,2,-1.1393025,-1.0
360,17,1500,0,1,0,0,3,-0.58914226,0.0
361,17,1500,0,1,0,0,4,0.40373343,1.0
362,17,1500,0,1,0,0,5,-1.5700942,-1.0
363,17,1500,0,1,0,0,6,1.0564069,1.0
364,17,1500,0,1,0,0,7,-0.07193713,0.0
365,17,1500,0,1,0,0,8,-0.954682,-1.0
366,17,1500,0,1,0,0,9,0.65198356,0.0
367,17,1500,0,1,0,0,10,1.6311829,1.0
368,17,1500,0,1,0,0,11,-0.34997708,-1.0
369,17,1500,0,1,0,0,12,-3.9525383,-4.0
370,17,1500,0,1,0,0,13,-0.13197605,0.0
371,17,1500,0,1,0,0,14,3.9678957,4.0
372,17,1500,0,1,0,0,15,0.17889298,0.0
373,17,1500,0,1,0,0,16,-3.9253523,-4.0
374,17,1500,0,1,0,0,17,4.170031,4.0
375,17,1500,0,1,0,0,18,4.9515076,5.0
376,17,1500,0,1,0,0,19,5.0842957,5.0
377,17,1500,0,1,0,0,20,2.9878635,3.0
378,18,1500,0,1,0,0,0,0.8320682,1.0
379,18,1500,0,1,0,0,1,-0.113773786,0.0
380,18,1500,0,1,0,0,2,-1.0813646,-1.0
381,18,1500,0,1,0,0,3,-0.23100442,0.0
382,18,1500,0,1,0,0,4,0.862612,1.0
383,18,1500,0,1,0,0,5,-1.1758329,-1.0
384,18,1500,0,1,0,0,6,1.2063843,1.0
385,18,1500,0,1,0,0,7,0.17784826,0.0
386,18,1500,0,1,0,0,8,-0.86828244,-1.0
387,18,1500,0,1,0,0,9,0.18667419,0.0
388,18,1500,0,1,0,0,10,1.1271199,1.0
389,18,1500,0,1,0,0,11,-0.8756628,-1.0
390,18,1500,0,1,0,0,12,-3.8105214,-4.0
391,18,1500,0,1,0,0,13,0.2909901,0.0
392,18,1500,0,1,0,0,14,4.2481627,4.0
393,18,1500,0,1,0,0,15,-0.06726154,0.0
394,18,1500,0,1,0,0,16,-3.9852316,-4.0
395,18,1500,0,1,0,0,17,3.9442317,4.0
396,18,1500,0,1,0,0,18,4.926679,5.0
397,18,1500,0,1,0,0,19,4.8431363,5.0
398,18,1500,0,1,0,0,20,2.9043486,3.0
399,19,1500,0,1,0,0,0,0.4162857,1.0
400,19,1500,0,1,0,0,1,-0.5962061,0.0
401,19,1500,0,1,0,0,2,-1.6294322,-1.0
402,19,1500,0,1,0,0,3,-1.0457814,0.0
403,19,1500,0,1,0,0,4,-0.11074398,1.0
404,19,1500,0,1,0,0,5,-2.148765,-1.0
405,19,1500,0,1,0,0,6,1.268393,1.0
406,19,1500,0,1,0,0,7,0.35372776,0.0
407,19,1500,0,1,0,0,8,-0.6571775,-1.0
408,19,1500,0,1,0,0,9,0.84319854,0.0
409,19,1500,0,1,0,0,10,1.9413911,1.0
410,19,1500,0,1,0,0,11,-0.0017421567,-1.0
411,19,1500,0,1,0,0,12,-4.9066005,-4.0
412,19,1500,0,1,0,0,13,-0.7748292,0.0
413,19,1500,0,1,0,0,14,3.1271248,4.0
414,19,1500,0,1,0,0,15,-0.63291603,0.0
415,19,1500,0,1,0,0,16,-4.54743,-4.0
416,19,1500,0,1,0,0,17,3.4096112,4.0
417,19,1500,0,1,0,0,18,5.789362,5.0
418,19,1500,0,1,0,0,19,5.6709924,5.0
419,19,1500,0,1,0,0,20,3.730495,3.0
420,20,1500,0,1,0,0,0,0.51509356,1.0
421,20,1500,0,1,0,0,1,-0.3805856,0.0
422,20,1500,0,1,0,0,2,-1.4031993,-1.0
423,20,1500,0,1,0,0,3,-0.95055145,0.0
424,20,1500,0,1,0,0,4,0.13267769,1.0
425,20,1500,0,1,0,0,5,-1.9182719,-1.0
426,20,1500,0,1,0,0,6,0.91919935,1.0
427,20,1500,0,1,0,0,7,-0.15368508,0.0
428,20,1500,0,1,0,0,8,-1.131765,-1.0
429,20,1500,0,1,0,0,9,0.4371312,0.0
430,20,1500,0,1,0,0,10,1.4417334,1.0
431,20,1500,0,1,0,0,11,-0.57024324,-1.0
432,20,1500,0,1,0,0,12,-5.5404296,-4.0
433,20,1500,0,1,0,0,13,-1.4299114,0.0
434,20,1500,0,1,0,0,14,2.553314,4.0
435,20,1500,0,1,0,0,15,-1.2503666,0.0
436,20,1500,0,1,0,0,16,-5.0530133,-4.0
437,20,1500,0,1,0,0,17,2.8606074,4.0
438,20,1500,0,1,0,0,18,6.411216,5.0
439,20,1500,0,1,0,0,19,6.2591496,5.0
440,20,1500,0,1,0,0,20,4.3147535,3.0
441,21,1500,0,1,0,0,0,1.1608566,1.0
442,21,1500,0,1,0,0,1,0.055837758,0.0
443,21,1500,0,1,0,0,2,-0.87615633,-1.0
444,21,1500,0,1,0,0,3,0.5223567,0.0
445,21,1500,0,1,0,0,4,1.4072365,1.0
446,21,1500,0,1,0,0,5,-0.551804,-1.0
447,21,1500,0,1,0,0,6,0.85209906,1.0
448,21,1500,0,1,0,0,7,-0.029218428,0.0
449,21,1500,0,1,0,0,8,-1.1000831,-1.0
450,21,1500,0,1,0,0,9,-0.6049191,0.0
451,21,1500,0,1,0,0,10,0.5381776,1.0
452,21,1500,0,1,0,0,11,-1.5187091,-1.0
453,21,1500,0,1,0,0,12,-3.6544108,-4.0
454,21,1500,0,1,0,0,13,0.30587655,0.0
455,21,1500,0,1,0,0,14,4.348453,4.0
456,21,1500,0,1,0,0,15,-0.03480062,0.0
457,21,1500,0,1,0,0,16,-4.047396,-4.0
458,21,1500,0,1,0,0,17,4.0007653,4.0
459,21,1500,0,1,0,0,18,4.955542,5.0
460,21,1500,0,1,0,0,19,4.943354,5.0
461,21,1500,0,1,0,0,20,2.921447,3.0
462,22,1500,0,1,0,0,0,1.1966761,1.0
463,22,1500,0,1,0,0,1,0.1505546,0.0
464,22,1500,0,1,0,0,2,-0.7792682,-1.0
465,22,1500,0,1,0,0,3,-0.3820726,0.0
466,22,1500,0,1,0,0,4,0.6612909,1.0
467,22,1500,0,1,0,0,5,-1.4453957,-1.0
468,22,1500,0,1,0,0,6,0.7788189,1.0
469,22,1500,0,1,0,0,7,-0.1580576,0.0
470,22,1500,0,1,0,0,8,-1.2394875,-1.0
471,22,1500,0,1,0,0,9,0.52783996,0.0
472,22,1500,0,1,0,0,10,1.4834558,1.0
473,22,1500,0,1,0,0,11,-0.41912088,-1.0
474,22,1500,0,1,0,0,12,-3.9959152,-4.0
475,22,1500,0,1,0,0,13,0.09898754,0.0
476,22,1500,0,1,0,0,14,3.9781861,4.0
477,22,1500,0,1,0,0,15,0.13369623,0.0
478,22,1500,0,1,0,0,16,-3.7941263,-4.0
479,22,1500,0,1,0,0,17,4.1176705,4.0
480,22,1500,0,1,0,0,18,4.8563995,5.0
481,22,1500,0,1,0,0,19,4.789583,5.0
482,22,1500,0,1,0,0,20,2.873908,3.0
483,23,1500,0,1,0,0,0,1.6552372,1.0
484,23,1500,0,1,0,0,1,0.61589324,0.0
485,23,1500,0,1,0,0,2,-0.37560886,-1.0
486,23,1500,0,1,0,0,3,0.098425634,0.0
487,23,1500,0,1,0,0,4,1.0199745,1.0
488,23,1500,0,1,0,0,5,-0.9482357,-1.0
489,23,1500,0,1,0,0,6,0.50411665,1.0
490,23,1500,0,1,0,0,7,-0.4166277,0.0
491,23,1500,0,1,0,0,8,-1.4067134,-1.0
492,23,1500,0,1,0,0,9,0.15350486,0.0
493,23,1500,0,1,0,0,10,1.2313932,1.0
494,23,1500,0,1,0,0,11,-0.77982926,-1.0
495,23,1500,0,1,0,0,12,-3.7121215,-4.0
496,23,1500,0,1,0,0,13,0.33412397,0.0
497,23,1500,0,1,0,0,14,4.417696,4.0
498,23,1500,0,1,0,0,15,0.36530688,0.0
499,23,1500,0,1,0,0,16,-3.6324887,-4.0
500,23,1500,0,1,0,0,17,4.452164,4.0
501,23,1500,0,1,0,0,18,4.653773,5.0
